type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0019280999986222014,0.005207599999266677,0.005207599999266677,9.337588499998674,space,9.307141400000546,None,,,,,,,,,,,,,,,,,,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,9,red,blue,word,z,800,2000,0,0,0,z,1,0.9173437000026752,None,0,0,0,8,9.93509719999929,,,,,,,,,9.639594000000216,9.93509719999929,9.93509719999929,9.93509719999929,9.93509719999929,10.04472750000059,10.04472750000059,10.862161000000924,z,1,0.9173437000026752,None,4.015977278307011,10.863062500000524,10.878116500000033,15.485208900001453,14.862391599999683,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,55,green,yellow,word,z,800,2000,1,1,0,z,1,0.7174775999992562,None,0,1,1,54,15.485208900001453,,,,,,,,,15.192076399998768,15.485208900001453,15.485208900001453,15.485208900001453,15.485208900001453,15.56213740000021,15.56213740000021,16.212800100001914,z,1,0.7174775999992562,None,5.701163422232252,16.2138483000017,16.228490099998453,22.40214080000078,21.91290630000003,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,5,orange,blue,word,z,800,2000,2,2,0,z,1,0.4812461999972584,None,0,2,2,4,22.40214080000078,,,,,,,,,22.25976290000108,22.40214080000078,22.40214080000078,22.40214080000078,22.40214080000078,22.61294800000178,22.61294800000178,22.896682200000214,z,1,0.4812461999972584,None,2.5841924090362287,22.897397500000807,22.912684899998567,25.746048500001052,25.47995599999922,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,6,red,yellow,word,z,800,2000,3,3,0,z,1,0.7971217000012984,None,0,3,3,5,25.746048500001052,,,,,,,,,25.6941525000002,25.746048500001052,25.746048500001052,,25.746048500001052,26.196909499998583,26.196909499998583,26.547441300001083,z,1,0.7971217000012984,None,1.58397532204485,26.548261200001434,26.56277820000105,28.50993020000169,28.130040799998824,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,14,yellow,blue,word,z,800,2000,4,4,0,z,1,0.795904700000392,None,0,4,4,13,28.50993020000169,,,,,,,,,28.363659599999664,28.50993020000169,28.50993020000169,28.50993020000169,28.50993020000169,28.829697100001795,28.829697100001795,29.314085800000612,z,1,0.795904700000392,None,5.543082117072606,29.31488570000147,29.330137100001593,35.378683800001454,34.84752709999884,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,31,yellow,red,word,z,800,2000,5,5,0,z,1,0.6212309999973513,None,0,5,5,30,35.378683800001454,,,,,,,,,35.07614100000137,35.378683800001454,35.378683800001454,35.378683800001454,35.378683800001454,35.547384199999215,35.547384199999215,36.01467739999862,z,1,0.6212309999973513,None,4.679318022205022,36.01551660000041,36.0305397000011,41.25823300000047,40.681484900000214,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,21,black,yellow,word,z,800,2000,6,6,0,z,1,0.6516601000002993,None,0,6,6,20,41.25823300000047,,,,,,,,,41.05126839999866,41.25823300000047,41.25823300000047,41.25823300000047,41.25823300000047,41.38129019999906,41.38129019999906,41.915117000000464,z,1,0.6516601000002993,None,1.2818121659337858,41.91589050000039,41.93119239999942,43.80187429999933,43.18178170000101,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,52,red,green,word,z,800,2000,7,7,0,z,1,0.6372136999998474,None,0,7,7,51,43.80187429999933,,,,,,,,,43.50253320000047,43.80187429999933,43.80187429999933,43.80187429999933,43.80187429999933,43.89818500000183,43.89818500000183,44.4487455999988,z,1,0.6372136999998474,None,5.1598259562530835,44.44957240000076,44.46478429999843,50.233138899999176,49.59915739999997,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,28,yellow,yellow,word,m,800,2000,8,8,0,z,0,0.46918420000292826,None,0,8,8,27,50.233138899999176,,,,,,,,,49.93145839999852,50.233138899999176,50.233138899999176,50.233138899999176,50.233138899999176,50.29858880000029,50.29858880000029,50.71615930000189,z,0,0.46918420000292826,None,5.769707107581399,50.717244100000244,50.73217719999957,57.195402000001195,56.48373400000128,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
