type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,sound_1.stopped,dot.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,stroop.press.rt,stroop.press.duration,thanks.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.002228199999080971,0.0062034000002313405,0.0062034000002313405,6.070650700014085,space,6.052963699999964,None,,,,,,,,,,,,,,,,,,,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,inconsistent,21,black,yellow,word,z,800,2000,0,0,0,None,0,,,0,0,0,20,6.210425600002054,,,,,,,,,6.205799299990758,6.210425600002054,6.210425600002054,0.13480999998864718,6.278739800007315,6.278739800007315,3.3575051999941934,11.07905749999918,11.0639142,None,0,1.0188884180078546,11.064616799994837,11.07905749999918,12.123020099999849,12.080413499992574,,,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,consistent,38,blue,blue,word,m,800,2000,1,1,0,m,1,0.7659249999851454,None,0,1,1,37,12.123020099999849,,,,,,,,,12.118745899992064,12.123020099999849,12.123020099999849,0.03804030001629144,12.295631200016942,12.295631200016942,,,12.897995200008154,m,1,4.452153086911171,12.898672500014072,12.912574299989501,17.39206959999865,17.34709440000006,0.7659249999851454,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,inconsistent,4,red,green,word,z,800,2000,2,2,0,z,1,0.6753176999918651,None,0,2,2,3,17.39206959999865,,,,,,,,,17.3873295999947,17.39206959999865,17.39206959999865,0.040023199981078506,17.562914100009948,17.562914100009948,,,18.081877299991902,z,1,5.8576337586062115,18.082581399998162,18.09632589999819,23.9888149999897,23.931329899991397,0.6753176999918651,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,consistent,41,green,green,word,m,800,2000,3,3,0,m,1,0.8306401000008918,None,0,3,3,40,23.9888149999897,,,,,,,,,23.983621099992888,23.9888149999897,23.9888149999897,0.05181509998510592,24.147062900010496,24.147062900010496,,,24.832578400004422,m,1,2.942224611986524,24.83323270000983,24.847045900009107,27.81219319999218,27.7649148000055,0.8306401000008918,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,consistent,51,red,red,word,m,800,2000,4,4,0,m,1,0.9402248999977019,None,0,4,4,50,27.81219319999218,,,,,,,,,27.80514989999938,27.81219319999218,27.81219319999218,0.040493000007700175,27.980699000007007,27.980699000007007,,,28.76651740001398,m,1,3.8238021211446607,28.767171200015582,28.780712300009327,32.63766249999753,32.58276570000453,0.9402248999977019,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,consistent,40,yellow,yellow,word,m,800,2000,5,5,0,m,1,0.7910590000101365,None,0,5,5,39,32.63766249999753,,,,,,,,,32.6309833000123,32.63766249999753,32.63766249999753,0.04829429998062551,32.79785289999563,32.79785289999563,,,33.43318660001387,m,1,3.346666742158468,33.43395299999975,33.44774120001239,36.79747099999804,36.76539000001503,0.7910590000101365,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,inconsistent,58,yellow,red,word,z,800,2000,6,6,0,z,1,0.77772179999738,None,0,6,6,57,36.79747099999804,,,,,,,,,36.79275980000966,36.79747099999804,36.79747099999804,0.027393700001994148,36.96497100000852,36.96497100000852,,,37.58375769999111,z,1,4.0697143156287705,37.584428700007265,37.598273200012045,41.69656750001013,41.6500711000117,0.77772179999738,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,consistent,7,green,green,word,m,800,2000,7,7,0,m,1,0.5989707999979146,None,0,7,7,6,41.69656750001013,,,,,,,,,41.69017970000277,41.69656750001013,41.69656750001013,0.040343300002859905,41.8655539000174,41.8655539000174,,,42.3011506999901,m,1,5.499945704872303,42.30180869999458,42.31552969999029,47.84970479999902,47.80095569998957,0.5989707999979146,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
test,inconsistent,33,yellow,green,word,z,800,2000,8,8,0,z,1,0.9232100000081118,None,0,8,8,32,47.84970479999902,,,,,,,,,47.841293400008,47.84970479999902,47.84970479999902,0.04072779999114573,48.016184800013434,48.016184800013434,,,48.785063299990725,z,1,1.4874231273284546,48.78577469999436,48.79910510001355,50.30737160000717,50.26726759999292,0.9232100000081118,None,,,Shuai,001,2025-03-10_20h46.54.639,pleaseworkstroopcontrol,2024.2.4,60.0295585560789,2025-03-10 20h47.14.762314 -0700,
