type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,fixation_control.started,dot_control.started,dot_control.stopped,fixation_control.stopped,trial.started,press.started,text_stroop.started,dot.started,text_stroop.stopped,dot.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,stroop.press.rt,stroop.press.duration,thanks.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0024523999891243875,0.006974599993554875,0.006974599993554875,29.998748499987414,None,,,,,,,,,,,,,,,,,,,,,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,29.999550799984718,30.01288189998013,90.10720369999763,89.98663400000078,,,,,,,,,,,,,,,,,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,25,red,blue,word,z,800,2000,0,0,0,None,0,,,0,0,0,24,90.10720369999763,,,,,,,,,,,90.10362079998595,90.10720369999763,90.10720369999763,90.20204599999124,90.20204599999124,95.00347239998518,94.98818819998996,None,0,2.0899861357221847,94.9974543999997,95.00347239998518,97.08606269999291,97.07038189997547,,,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,6,red,yellow,word,z,800,2000,1,1,0,m,0,1.5331871999951545,None,0,1,1,5,97.08606269999291,,,,,,,,,,,97.07178519997979,97.08606269999291,97.08606269999291,97.28633199998876,97.28633199998876,,98.64261219999753,m,0,4.130803882474332,98.64350869998452,98.6482224999927,102.79163619998144,102.77124949998688,1.5331871999951545,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,consistent,54,green,green,word,m,800,2000,2,2,0,m,1,0.7212780999834649,None,0,2,2,53,102.79163619998144,,,,,,,,,,,102.78579799999716,102.79163619998144,102.79163619998144,102.98670039998251,102.98670039998251,,103.52206189997378,m,1,1.60948322186503,103.5227968999825,103.5369504999835,105.13878109998768,105.12119989999337,0.7212780999834649,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,32,orange,green,word,z,800,2000,3,3,0,z,1,0.6911677000171039,None,0,3,3,31,105.13878109998768,,,,,,,,,,,105.13242029998219,105.13878109998768,105.13878109998768,105.3370556999871,105.3370556999871,,105.83903199998895,z,1,5.056884902742111,105.839745699981,105.85367859998951,110.9042771999957,110.88864639998064,0.6911677000171039,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,44,green,red,word,z,800,2000,4,4,0,z,1,0.8037477000034414,None,0,4,4,43,110.9042771999957,,,,,,,,,,,110.89439989998937,110.9042771999957,110.9042771999957,111.10424759998568,111.10424759998568,,111.72262899999623,z,1,2.512066126386185,111.7233446999744,111.73756059998414,114.24322789997677,114.2220347999828,0.8037477000034414,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,15,yellow,red,word,z,800,2000,5,5,0,z,1,0.6193998000235297,None,0,5,5,14,114.24322789997677,,,,,,,,,,,114.23683270000038,114.24322789997677,114.24322789997677,114.43779469997389,114.43779469997389,,114.87298059999011,z,1,1.0816227517795376,114.87383529997896,114.88772949998383,115.96135779999895,115.939206799987,0.6193998000235297,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,24,blue,green,word,z,800,2000,6,6,0,z,1,0.6022833000170067,None,0,6,6,23,115.96135779999895,,,,,,,,,,,115.95473579998361,115.96135779999895,115.96135779999895,116.15468119998695,116.15468119998695,,116.5733294999809,z,1,2.3061211326102162,116.57423149998067,116.58798079998815,118.888189099991,118.87253559997771,0.6022833000170067,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,31,yellow,red,word,z,800,2000,7,7,0,z,1,0.5623621999984607,None,0,7,7,30,118.888189099991,,,,,,,,,,,118.88100899997517,118.888189099991,118.888189099991,119.08816129999468,119.08816129999468,,119.4571649999998,z,1,1.947937475971714,119.45810879999772,119.4713594999921,121.40533059998415,121.38966659997823,0.5623621999984607,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,10,green,yellow,word,z,800,2000,8,8,0,z,1,0.5523012999910861,None,0,8,8,9,121.40533059998415,,,,,,,,,,,121.39681519998703,121.40533059998415,121.40533059998415,121.60512100000051,121.60512100000051,,121.97365869997884,z,1,3.1107283215375103,121.97456659999443,121.98867859999882,125.08902009998565,125.0734800999926,0.5523012999910861,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,consistent,49,yellow,yellow,word,m,800,2000,9,9,0,m,1,0.8721319999895059,None,0,9,9,48,125.08902009998565,,,,,,,,,,,125.08117619997938,125.08902009998565,125.08902009998565,125.28905979997944,125.28905979997944,,125.97418959997594,m,1,2.426879846808329,125.97494429998915,125.98894209999708,128.40591409997432,128.39044589997502,0.8721319999895059,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,11,green,red,word,z,800,2000,10,10,0,z,1,0.5812613999878522,None,0,10,10,10,128.40591409997432,,,,,,,,,,,128.39744459997746,128.40591409997432,128.40591409997432,128.60601269998006,128.60601269998006,,128.9913608999923,z,1,3.8797752966857915,128.99209389998578,129.0061499000003,132.87266919997637,132.85736769999494,0.5812613999878522,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,20,red,green,word,z,800,2000,11,11,0,z,1,0.6836661999986973,None,0,11,11,19,132.87266919997637,,,,,,,,,,,132.86408109997865,132.87266919997637,132.87266919997637,133.07277859997703,133.07277859997703,,133.55926969999564,z,1,5.352180163884119,133.55999789998168,133.57289169999422,138.92354930000147,138.90788119999343,0.6836661999986973,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,consistent,57,yellow,yellow,word,m,800,2000,12,12,0,m,1,0.8552763999905437,None,0,12,12,56,138.92354930000147,,,,,,,,,,,138.9137343999755,138.92354930000147,138.92354930000147,139.12338589999126,139.12338589999126,,139.79251529998146,m,1,2.143709195373498,139.79343589997734,139.8068620999984,141.94072199999937,141.92489779999596,0.8552763999905437,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
test,inconsistent,48,yellow,red,word,z,800,2000,13,13,0,z,1,0.6404554000182543,None,0,13,13,47,141.94072199999937,,,,,,,,,,,141.9268450999807,141.94072199999937,141.94072199999937,142.14063399998122,142.14063399998122,,142.59246369998436,z,1,3.3222673705042634,142.5932671999908,142.6071524999861,145.92413129998022,145.90884559997357,0.6404554000182543,None,,,Shuai,001,2025-03-10_20h25.50.700,pleaseworkstroopcontrol,2024.2.4,59.99192508476104,2025-03-10 20h26.08.283831 -0700,
