type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0044225999736227095,0.00782879997859709,0.00782879997859709,9.067247899976792,space,9.036807600001339,None,,,,,,,,,,,,,,,,,,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,10,green,yellow,word,z,800,2000,0,0,0,z,1,1.0662467000074685,None,0,0,0,9,9.665676799981156,,,,,,,,,9.372430199990049,9.665676799981156,9.665676799981156,9.665676799981156,9.665676799981156,9.773870699980762,9.773870699980762,10.741296199994395,z,1,1.0662467000074685,None,1.1407399843883668,10.742156299995258,10.757488599978387,12.427160899998853,11.874527699983446,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,55,green,yellow,word,z,800,2000,1,1,0,z,1,0.7764634000195656,None,0,1,1,54,12.427160899998853,,,,,,,,,12.283386799972504,12.427160899998853,12.427160899998853,12.427160899998853,12.427160899998853,12.590981199988164,12.590981199988164,13.20828029999393,z,1,0.7764634000195656,None,4.592806551469852,13.209183300001314,13.224162099999376,18.29918239999097,17.79182949999813,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,6,red,yellow,word,z,800,2000,2,2,0,z,1,0.6672259999904782,None,0,2,2,5,18.29918239999097,,,,,,,,,17.99797089997446,18.29918239999097,18.29918239999097,18.29918239999097,18.29918239999097,18.50832470000023,18.50832470000023,18.975376999995206,z,1,0.6672259999904782,None,4.047620929440879,18.976192699978128,18.991649399977177,23.680464799981564,23.009261399973184,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,58,yellow,red,word,z,800,2000,3,3,0,z,1,0.5609470999916084,None,0,3,3,57,23.680464799981564,,,,,,,,,23.389616699976614,23.680464799981564,23.680464799981564,23.680464799981564,23.680464799981564,23.725518599996576,23.725518599996576,24.242440799978795,z,1,0.5609470999916084,None,3.08045596709601,24.243319999979576,24.258235299988883,27.880322399985744,27.30912539997371,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,4,red,green,word,z,800,2000,4,4,0,z,1,1.123253300000215,None,0,4,4,3,27.880322399985744,,,,,,,,,27.740123600000516,27.880322399985744,27.880322399985744,28.93530589999864,27.880322399985744,28.00932620000094,28.00932620000094,29.00954759999877,z,1,1.123253300000215,None,1.181958425385299,29.010377899976447,29.02556929999264,30.841424499987625,30.176112999994075,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,1,red,red,word,m,800,2000,5,5,0,m,1,0.715250700013712,None,0,5,5,0,30.841424499987625,,,,,,,,,30.53938809997635,30.841424499987625,30.841424499987625,30.841424499987625,30.841424499987625,30.892883399996208,30.892883399996208,31.55983759998344,m,1,0.715250700013712,None,5.605301199260293,31.56067149998853,31.57636249999632,37.78181129999575,37.160356899985345,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,2,yellow,green,word,z,800,2000,6,6,0,z,1,0.6479083000158425,None,0,6,6,1,37.78181129999575,,,,,,,,,37.48055609999574,37.78181129999575,37.78181129999575,37.78181129999575,37.78181129999575,37.87653699997463,37.87653699997463,38.44406869998784,z,1,0.6479083000158425,None,4.051927569842446,38.44487599999411,38.46039599998039,42.96708619999117,42.49419769999804,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,31,yellow,red,word,z,800,2000,7,7,0,z,1,0.7393313999928068,None,0,7,7,30,42.96708619999117,,,,,,,,,42.82507120000082,42.96708619999117,42.96708619999117,42.96708619999117,42.96708619999117,43.21066269997391,43.21066269997391,43.711178999976255,z,1,0.7393313999928068,None,1.4375764153526336,43.71195769999758,43.72720279998612,45.469281999976374,45.144499899994116,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,3,blue,red,word,z,800,2000,8,8,0,z,1,1.0510701000166591,None,0,8,8,2,45.469281999976374,,,,,,,,,45.37648099998478,45.469281999976374,45.469281999976374,,45.469281999976374,45.844352999993134,45.844352999993134,46.52865059999749,z,1,1.0510701000166591,None,1.5310015675361952,46.52956989998347,46.54432739998447,48.669659299979685,48.04490129998885,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,51,red,red,word,m,800,2000,9,9,0,m,1,0.7925440999970306,None,0,9,9,50,48.669659299979685,,,,,,,,,48.37398389997543,48.669659299979685,48.669659299979685,48.669659299979685,48.669659299979685,48.7442986999813,48.7442986999813,49.47851349998382,m,1,0.7925440999970306,None,1.4035381933421363,49.47971039998811,49.49423719997867,51.60952689999249,50.87848239997402,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,24,blue,green,word,z,800,2000,10,10,0,None,0,,,0,10,10,23,51.60952689999249,,,,,,,,,51.31321829999797,51.60952689999249,51.60952689999249,51.60952689999249,51.60952689999249,51.613194999983534,51.613194999983534,55.86255409999285,None,0,,,2.2879844977506987,55.86340360000031,55.87837589997798,58.76338349998696,58.14581229997566,55.87837589997798,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,46,yellow,yellow,word,m,800,2000,11,11,0,m,1,0.6623547999770381,None,0,11,11,45,58.76338349998696,,,,,,,,,58.54386809997959,58.76338349998696,58.76338349998696,58.76338349998696,58.76338349998696,58.84557199999108,58.84557199999108,59.42921059997752,m,1,0.6623547999770381,None,4.440960797076321,59.43021319998661,59.44526219999534,64.47351630000048,63.862911899981555,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,27,green,red,word,z,800,2000,12,12,0,z,1,0.7463457999983802,None,0,12,12,26,64.47351630000048,,,,,,,,,64.17380530000082,64.47351630000048,64.47351630000048,64.47351630000048,64.47351630000048,64.56227559997933,64.56227559997933,65.23019529998419,z,1,0.7463457999983802,None,2.4278609975211416,65.23121629998786,65.24618589997408,68.22126489999937,67.64683109999169,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,39,red,yellow,word,z,800,2000,13,13,0,z,1,0.9174696000118274,None,0,13,13,38,68.22126489999937,,,,,,,,,67.99404069999582,68.22126489999937,68.22126489999937,68.22126489999937,68.22126489999937,68.36311069998192,68.36311069998192,69.14728829998057,z,1,0.9174696000118274,None,4.965206518727847,69.14823679998517,69.16295259998878,74.48848469997756,74.09734749997733,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,36,red,red,word,m,800,2000,14,14,0,m,1,0.6932109999761451,None,0,14,14,35,74.48848469997756,,,,,,,,,74.31728809999186,74.48848469997756,74.48848469997756,74.48848469997756,74.48848469997756,74.81338749997667,74.81338749997667,75.19802789998357,m,1,0.6932109999761451,None,2.4893323128033376,75.198868699983,75.21341050000046,78.26619319999008,77.68069129998912,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,52,red,green,word,z,800,2000,15,15,0,z,1,0.9614430000074208,None,0,15,15,51,78.26619319999008,,,,,,,,,77.96670159997302,78.26619319999008,78.26619319999008,78.26619319999008,78.26619319999008,78.3808370999759,78.3808370999759,79.23160329999519,z,1,0.9614430000074208,None,4.548090974678142,79.23236229998292,79.24757809998118,84.19029039997258,83.76496169998427,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,41,green,green,word,m,800,2000,16,16,0,m,1,1.1919700000144076,None,0,16,16,40,84.19029039997258,,,,,,,,,84.08760689999326,84.19029039997258,84.19029039997258,85.28881059997366,84.19029039997258,84.4651179999928,84.4651179999928,85.39881179999793,m,1,1.1919700000144076,None,2.4685920339480116,85.39966779999668,85.41484739998123,88.37573379999958,87.86532289997558,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,13,purple,red,word,z,800,2000,17,17,0,z,1,0.6533492999733426,None,0,17,17,12,88.37573379999958,,,,,,,,,88.2145787999907,88.37573379999958,88.37573379999958,88.37573379999958,88.37573379999958,88.58198359998642,88.58198359998642,89.03242599999066,z,1,0.6533492999733426,None,4.424427600213914,89.03324319998501,89.04822440000135,93.89963239998906,93.44901109999046,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,54,green,green,word,m,800,2000,18,18,0,m,1,0.7398898000246845,None,0,18,18,53,93.89963239998906,,,,,,,,,93.75295949997962,93.89963239998906,93.89963239998906,93.89963239998906,93.89963239998906,94.14887569998973,94.14887569998973,94.64958199998364,m,1,0.7398898000246845,None,2.7111315042119353,94.65044719999423,94.66547329997411,97.85649209999247,97.34970239998074,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,34,green,green,word,m,800,2000,19,19,0,m,1,0.6279234999965411,None,0,19,19,33,97.85649209999247,,,,,,,,,97.55277249999926,97.85649209999247,97.85649209999247,97.85649209999247,97.85649209999247,98.06616550000035,98.06616550000035,98.50014929997269,m,1,0.6279234999965411,None,4.002335423840282,98.50115919997916,98.51618999999482,103.32552959999884,102.50016049999977,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,18,red,red,word,m,800,2000,20,20,0,m,1,0.9529892999853473,None,0,20,20,17,103.32552959999884,,,,,,,,,102.93041559998528,103.32552959999884,103.32552959999884,103.32552959999884,103.32552959999884,103.32892739999807,103.32892739999807,104.28382439998677,m,1,0.9529892999853473,None,4.598794001365368,104.28469939998467,104.2998179999995,109.5390347999928,108.86738919999334,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,49,yellow,yellow,word,m,800,2000,21,21,0,m,1,0.6873967999999877,None,0,21,21,48,109.5390347999928,,,,,,,,,109.23644369997783,109.5390347999928,109.5390347999928,109.5390347999928,109.5390347999928,109.58391119999578,109.58391119999578,110.2345599999826,m,1,0.6873967999999877,None,4.738932899072578,110.23529429998598,110.25012299997616,115.62268729999778,114.96906639999361,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,35,red,red,word,m,800,2000,22,22,0,m,1,0.6273224999895319,None,0,22,22,34,115.62268729999778,,,,,,,,,115.40105699998094,115.62268729999778,115.62268729999778,115.62268729999778,115.62268729999778,115.68425149997347,115.68425149997347,116.25163559999783,m,1,0.6273224999895319,None,2.281783582078308,116.25247809998109,116.2674228999822,119.03058249998139,118.51807299998472,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,42,green,yellow,word,z,800,2000,23,23,0,z,1,0.8101557999907527,None,0,23,23,41,119.03058249998139,,,,,,,,,118.72923439997248,119.03058249998139,119.03058249998139,119.03058249998139,119.03058249998139,119.21824819999165,119.21824819999165,119.8519259999739,z,1,0.8101557999907527,None,2.076299604031697,119.85264219998498,119.86791849997826,122.56684879999375,121.91874759999337,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
